ID,LATITUDE,LONGITUDE,ZIP
20653090,40.701880000,-73.920620000,11237
20653520,40.649230000,-73.952730000,11226
20653657,40.761540000,-73.993060000,10036
20654072,40.641790000,-73.979410000,11218
20654227,40.681850000,-73.881280000,11208
20655740,40.717980000,-73.984180000,10002
20655777,40.650990000,-73.962830000,11226
20659193,40.886980000,-73.860490000,10466
20659540,40.679840000,-73.970300000,11238
20659824,40.672620000,-73.873910000,11208
20660511,40.695740000,-73.939750000,11206
20661572,40.693660000,-73.937940000,11221
20661577,40.806270000,-73.963540000,10027
20662043,40.646410000,-73.949560000,11226
20662567,40.788750000,-73.967900000,10024
20663286,40.694550000,-73.927150000,11221
20663644,40.649310000,-73.973300000,11218
20663721,40.685680000,-73.919230000,11233
20663839,40.726010000,-73.976740000,10009
20663936,40.725460000,-73.955580000,11222
20663997,40.722800000,-73.945380000,11222
20664275,40.739630000,-73.981660000,10010
20664395,40.662800000,-73.983490000,11215
20665199,40.660470000,-73.937430000,11203
20665380,40.671830000,-73.952770000,11216
20665530,40.714050000,-73.992910000,10002
20667471,40.720280000,-73.941520000,11222
20667572,40.701000000,-73.919860000,11237
20668002,40.687970000,-73.959200000,11238
20671003,40.705870000,-73.923580000,11237
20673104,40.766440000,-73.954860000,10021
20673848,40.799820000,-73.960580000,10025
20674176,40.765060000,-73.985670000,10019
20674600,40.764600000,-73.989810000,10019
20674622,40.682890000,-73.985320000,11217
20675077,40.711220000,-73.943470000,11211
20675149,40.689390000,-73.954180000,11205
20675173,40.675300000,-73.962820000,11238
20675762,40.652860000,-73.933710000,11203
20676192,40.756070000,-73.809640000,11355
20676841,40.613530000,-74.067240000,10305
20678169,40.704080000,-73.920450000,11237
20678183,40.786020000,-73.949770000,10128
20678724,40.677530000,-73.916880000,11233
20678802,40.719230000,-73.995730000,10013
20678811,40.648500000,-73.938550000,11203
20678858,40.597360000,-73.800290000,11692
20679072,40.597540000,-73.799490000,11692
20679134,40.649910000,-73.937160000,11203
20679146,40.714620000,-73.962630000,11211
20679388,40.753100000,-73.970850000,10017
20679396,40.758950000,-73.791960000,11358
20679565,40.722460000,-73.947680000,11222
20679666,40.763630000,-73.987460000,10019
20680045,40.682400000,-73.913150000,11233
20682422,40.851860000,-73.930500000,10033
20682663,40.863060000,-73.928960000,10040
20685563,40.682010000,-73.894250000,11207
20685890,40.794120000,-73.968060000,10025
20685952,40.831210000,-73.848300000,10462
20686099,40.780190000,-73.958570000,10028
20686134,40.847110000,-73.830390000,10461
20686701,40.750600000,-73.971040000,10017
20686965,40.640680000,-73.964100000,11226
20688175,40.677490000,-73.948540000,11216
20688359,40.736380000,-73.980890000,10010
20688422,40.663340000,-73.946510000,11225
20688524,40.796330000,-73.948190000,10029
20688624,40.744190000,-73.999130000,10011
20688793,40.708660000,-74.013850000,10006
20689395,40.685410000,-73.961880000,11238
20689426,40.691600000,-73.945380000,11221
20689498,40.671920000,-73.974440000,11215
20689638,40.772810000,-73.902950000,11105
20690341,40.826270000,-73.908030000,10456
20690781,40.727330000,-73.995800000,10012
20691057,40.724050000,-73.977470000,10009
20691991,40.729300000,-73.982830000,10009
20692159,40.856570000,-73.909150000,10453
20692462,40.691220000,-73.969760000,11205
20692563,40.733000000,-73.994130000,10003
20692888,40.712790000,-73.946620000,11211
20695930,40.809800000,-73.944100000,10027
20696496,40.685910000,-73.924900000,11221
20696525,40.719460000,-73.997610000,10013
20697209,40.690610000,-73.952030000,11205
20697463,40.697480000,-73.901270000,11385
20697637,40.734650000,-74.001390000,10014
20697910,40.675380000,-73.933790000,11213
20698073,40.691670000,-73.969270000,11205
20698375,40.750520000,-73.972590000,10017
20698477,40.761280000,-73.962360000,10065
20701904,40.737410000,-73.980960000,10010
20702398,40.849640000,-73.787170000,10464
20703198,40.727920000,-73.982880000,10009
20703786,40.635240000,-73.941580000,11210
20704394,40.705010000,-74.007070000,10005
20705026,40.752240000,-73.815050000,11355
20705094,40.736320000,-74.006010000,10014
20707361,40.699700000,-73.913050000,11237
20707376,40.789650000,-73.969930000,10024
20707451,40.641620000,-73.908910000,11236
20707833,40.824440000,-73.951120000,10031
20708173,40.665920000,-73.953190000,11225
20708246,40.700880000,-73.918360000,11237
20708619,40.716470000,-73.953330000,11211
20709531,40.672250000,-73.933260000,11213
20710022,40.801710000,-73.951220000,10026
20710208,40.690840000,-73.920480000,11221
20710508,40.729870000,-73.982830000,10009
20711342,40.717020000,-73.957320000,11211
20711362,40.678650000,-73.942310000,11216
20711534,40.706310000,-73.919220000,11237
20711609,40.733650000,-73.953540000,11222
20712652,40.772370000,-73.952750000,10075
20712708,40.738040000,-73.981780000,10010
20713633,40.713650000,-73.997300000,10002
20714088,40.777730000,-73.832370000,11356
20714304,40.777860000,-73.908190000,11105
20714517,40.618020000,-73.928660000,11234
20714824,40.839020000,-73.937660000,10032
20714992,40.780790000,-73.954990000,10128
20720290,40.778320000,-73.956570000,10028
20722067,40.732270000,-73.951490000,11222
20722247,40.741600000,-74.000820000,10011
20723015,40.724400000,-73.977320000,10009
20723274,40.627240000,-73.930430000,11234
20724115,40.716110000,-73.994050000,10002
20724736,40.804820000,-73.951070000,10026
20725759,40.687630000,-73.927060000,11221
20725853,40.682250000,-73.991160000,11231
20726517,40.709290000,-73.953810000,11211
20726546,40.813940000,-73.953340000,10027
20728525,40.685030000,-73.779830000,11434
20729133,40.691550000,-73.936620000,11221
20729174,40.654130000,-73.948460000,11226
20729216,40.641190000,-74.083690000,10301
20729530,40.844920000,-73.938910000,10032
20729892,40.754010000,-73.920130000,11101
20729909,40.678840000,-73.974930000,11217
20729981,40.812250000,-73.951970000,10027
20730848,40.793830000,-73.949680000,10029
20730891,40.770370000,-73.957340000,10021
20738759,40.690400000,-73.993760000,11201
20738991,40.689530000,-73.931870000,11221
20739147,40.698550000,-73.936710000,11206
20740322,40.723720000,-73.993180000,10012
20741384,40.648610000,-73.949830000,11226
20741446,40.860800000,-73.928100000,10040
20741509,40.808410000,-73.956250000,10025
20741563,40.685660000,-73.925520000,11233
20743194,40.802270000,-73.957900000,10026
20743305,40.699540000,-73.935790000,11206
20743703,40.675420000,-73.951070000,11216
20744284,40.644930000,-73.973270000,11218
20744490,40.707900000,-73.966090000,11211
20744654,40.674540000,-73.984100000,11215
20744948,40.654290000,-73.734320000,11422
20745030,40.686600000,-73.967610000,11238
